Host,Endangered,Decreasing,DataDeficient,Citations,NVirion,NZoon,
abditomys latidens,0,0,1,0,0,0,
abeomelomys sevia,0,0,0,0.301029996,0,0,
abrawayaomys chebezi,0,0,1,0,0,0,
abrawayaomys ruschii,0,0,0,0.477121255,0,0,
abrocoma bennettii,0,0,0,0.301029996,0,0,
abrocoma boliviensis,1,1,0,0,0,0,
abrocoma budini,0,0,1,0,0,0,
abrocoma cinerea,0,0,0,0.477121255,0,0,
abrocoma famatina,0,0,1,0,0,0,
abrocoma shistacea,0,0,0,0,0,0,
abrocoma uspallata,0,0,1,0,0,0,
abrocoma vaccarum,0,0,1,0,0,0,
abrothrix andinus,0,0,0,0.602059991,0,0,
abrothrix illutea,0,1,0,0,0,0,
abrothrix jelskii,0,0,0,0,0,0,
abrothrix lanosus,0,0,0,0,0,0,
abrothrix longipilis,0,1,0,1.113943352,0.30103,0.30103,
abrothrix manni,0,0,0,0.301029996,0,0,
abrothrix olivaceus,0,0,0,1,0.30103,0.30103,
abrothrix sanborni,0,1,0,0.301029996,0.30103,0.30103,
acerodon celebensis,0,1,0,0.301029996,0.4771213,0,
acerodon humilis,1,1,0,0,0,0,
acerodon jubatus,1,1,0,0.698970004,0,0,
acerodon leucotis,0,1,0,0,0,0,
acerodon mackloti,0,1,0,0,0,0,
acinonyx jubatus,0,1,0,2.53529412,1.255273,0.90309,
acomys airensis,0,0,0,0.477121255,0,0,
acomys cahirinus,0,0,0,2.442479769,0.60206,0.4771213,
acomys cilicicus,0,0,1,0.301029996,0,0,
acomys cineraceus,0,0,0,0,0,0,
acomys dimidiatus,0,0,0,1.431363764,0.30103,0.30103,
acomys ignitus,0,0,0,0,0,0,
acomys johannis,0,0,0,0.301029996,0,0,
acomys kempi,0,0,0,0.301029996,0,0,
acomys louisae,0,0,0,0,0,0,
acomys minous,0,0,1,0.602059991,0,0,
acomys mullah,0,0,0,0,0,0,
acomys muzei,0,0,0,0,0,0,
acomys nesiotes,0,0,1,0,0,0,
acomys ngurui,0,0,0,0,0,0,
acomys percivali,0,0,0,0.477121255,0,0,
acomys russatus,0,0,0,1.73239376,0,0,
acomys selousi,0,0,0,0,0,0,
acomys seurati,0,0,0,0,0,0,
acomys spinosissimus,0,0,0,0.84509804,0,0,
acomys subspinosus,0,0,0,0.477121255,0,0,
acomys wilsoni,0,0,0,0.301029996,0,0,
aconaemys fuscus,0,0,0,0.301029996,0,0,
aconaemys porteri,0,0,1,0,0,0,
aconaemys sagei,0,0,1,0,0,0,
acrobates pygmaeus,0,0,0,0.903089987,0,0,
addax nasomaculatus,1,1,0,1.491361694,0.4771213,0.30103,
aegialomys galapagoensis,0,0,0,0.301029996,0,0,
aegialomys xanthaeolus,0,0,0,0,0,0,
aepeomys lugens,0,0,0,0,0,0,
aepeomys reigi,0,1,0,0,0,0,
aepyceros melampus,0,0,0,2.190331698,1.20412,0.7781513,
aepyprymnus rufescens,0,0,0,1.113943352,0,0,
aeretes melanopterus,0,1,0,0,0,0,
aeromys tephromelas,0,0,1,0,0,0,
aeromys thomasi,0,0,0,0,0,0,
aethalops aequalis,0,0,0,0,0,0,
aethalops alecto,0,0,0,0,0,0,
aethomys bocagei,0,0,0,0,0,0,
aethomys chrysophilus,0,0,0,1.230448921,0,0,
aethomys hindei,0,0,0,0,0,0,
aethomys ineptus,0,0,0,0.477121255,0,0,
aethomys kaiseri,0,0,0,0.602059991,0.4771213,0.30103,
aethomys nyikae,0,0,0,0,0,0,
aethomys silindensis,0,0,1,0.301029996,0,0,
aethomys stannarius,0,0,1,0,0,0,
aethomys thomasi,0,0,0,0,0,0,
ailuropoda melanoleuca,0,0,0,2.568201724,0.30103,0.69897,
ailurops melanotis,1,1,0,0,0,0,
ailurops ursinus,0,1,0,0,0,0,
ailurus fulgens,1,1,0,2.068185862,0.7781513,0.69897,
akodon aerosus,0,0,0,0.477121255,0,0,
akodon affinis,0,0,0,0.301029996,0,0,
akodon albiventer,0,0,0,0.301029996,0,0,
akodon azarae,0,0,0,1.785329835,0.84509804,0.7781513,
akodon boliviensis,0,0,0,0.602059991,0,0,
akodon budini,0,0,0,0.602059991,0,0,
akodon caenosus,0,0,1,0,0,0,
akodon cursor,0,0,0,1.544068044,0.30103,0.30103,
akodon dayi,0,0,0,0,0,0,
akodon dolores,0,0,0,0.77815125,0,0,
akodon fumeus,0,0,0,0,0,0,
akodon iniscatus,0,0,0,0.301029996,0,0,
akodon juninensis,0,0,0,0,0,0,
akodon kofordi,0,0,0,0.301029996,0,0,
akodon lindberghi,0,0,1,0.301029996,0,0,
akodon lutescens,0,0,0,0,0,0,
akodon mimus,0,0,0,0,0,0,
akodon molinae,0,1,0,1.176091259,0.30103,0.30103,
akodon mollis,0,0,0,0.602059991,0,0,
akodon montensis,0,1,0,1.73239376,0.69897,0.60206,
akodon mystax,0,0,1,0,0,0,
akodon orophilus,0,0,0,0.477121255,0,0,
akodon paranaensis,0,0,0,1.041392685,0.30103,0.30103,
akodon pervalens,0,0,1,0,0,0,
akodon philipmyersi,0,0,1,0.301029996,0,0,
akodon polopi,0,0,0,0,0,0,
akodon reigi,0,0,0,0,0,0,
akodon sanctipaulensis,0,0,1,0,0,0,
akodon serrensis,0,0,0,0.77815125,0.30103,0.30103,
akodon siberiae,0,1,0,0,0,0,
akodon simulator,0,0,0,0.602059991,0.30103,0.30103,
akodon spegazzinii,0,0,0,0.301029996,0,0,
akodon subfuscus,0,0,0,0,0,0,
akodon surdus,0,0,0,0,0,0,
akodon sylvanus,0,0,0,0,0,0,
akodon toba,0,0,0,0.477121255,0,0,
akodon torques,0,0,0,0,0,0,
akodon varius,0,0,1,0.301029996,0.30103,0.30103,
alcelaphus buselaphus,0,1,0,1.491361694,1.1139434,0.60206,
alces alces,0,0,0,2.745855195,1.255273,0.95542425,
alionycteris paucidentata,0,0,0,0,0,0,
allactaga balikunica,0,0,0,0,0,0,
allactaga bullata,0,0,0,0,0.30103,0,
allactaga elater,0,1,0,0.698970004,0,0,
allactaga euphratica,0,1,0,0.477121255,0,0,
allactaga firouzi,0,0,1,0,0,0,
allactaga hotsoni,0,0,0,0,0,0,
allactaga major,0,1,0,0.477121255,0,0,
allactaga severtzovi,0,0,0,0.301029996,0,0,
allactaga sibirica,0,0,0,0.698970004,0,0,
allactaga tetradactyla,0,0,1,0.477121255,0,0,
allactaga toussi,0,0,0,0,0,0,
allactaga vinogradovi,0,1,0,0,0,0,
allactaga williamsi,0,1,0,0,0,0,
allactodipus bobrinskii,0,0,0,0,0,0,
allenopithecus nigroviridis,0,1,0,1.079181246,0.7781513,0.7781513,
allocebus trichotis,1,1,0,0.903089987,0,0,
allochrocebus lhoesti,0,1,0,0.477121255,0.30103,0.30103,
allochrocebus preussi,1,1,0,0.301029996,0.60206,0.4771213,
allochrocebus solatus,0,0,0,0,0.4771213,0.4771213,
allocricetulus curtatus,0,0,0,0.301029996,0,0,
allocricetulus eversmanni,0,0,0,0.477121255,0.30103,0.30103,
alouatta arctoidea,0,0,0,0,0,0,
alouatta belzebul,0,1,0,1.491361694,0.69897,0.69897,
alouatta caraya,0,1,0,2.198657087,1.041393,0.30103,
alouatta discolor,0,1,0,0,0,0,
alouatta guariba,0,1,0,1.785329835,0.60206,0.4771213,
alouatta juara,0,0,0,0,0,0,
alouatta macconnelli,0,0,0,0.77815125,0,0,
alouatta nigerrima,0,1,0,0,0,0,
alouatta palliata,0,1,0,2.225309282,0.7781513,0.7781513,
alouatta pigra,1,1,0,2.017033339,0.7781513,0.7781513,
alouatta puruensis,0,1,0,0.477121255,0,0,
alouatta sara,0,1,0,0.77815125,0.30103,0.30103,
alouatta seniculus,0,1,0,1.903089987,0.7781513,0.7781513,
alouatta ululata,1,1,0,0,0,0,
alticola albicaudus,0,0,1,0,0,0,
alticola argentatus,0,0,0,0.77815125,0.30103,0.30103,
alticola barakshin,0,0,0,0.301029996,0,0,
alticola lemminus,0,0,0,0.301029996,0,0,
alticola macrotis,0,0,0,0.602059991,0,0,
alticola montosa,0,1,0,0,0,0,
alticola olchonensis,1,0,0,0.301029996,0,0,
alticola roylei,0,1,0,0.477121255,0,0,
alticola semicanus,0,0,0,0.301029996,0,0,
alticola stoliczkanus,0,0,0,0.477121255,0,0,
alticola strelzowi,0,0,0,0.301029996,0,0,
alticola tuvinicus,0,0,0,0.301029996,0,0,
amblysomus corriae,0,0,0,0,0,0,
amblysomus hottentotus,0,0,0,1.041392685,0,0,
amblysomus marleyi,1,0,0,0,0,0,
amblysomus robustus,0,0,0,0,0,0,
amblysomus septentrionalis,0,1,0,0,0,0,
ametrida centurio,0,0,0,0,0,0,
ammodillus imbellis,0,0,1,0,0,0,
ammodorcas clarkei,0,1,0,0,0,0,
ammospermophilus harrisii,0,0,0,0.477121255,0,0,
ammospermophilus interpres,0,0,0,0,0,0,
ammospermophilus leucurus,0,0,0,1.176091259,0,0,
ammospermophilus nelsoni,1,1,0,0.477121255,0.69897,0.60206,
ammotragus lervia,0,1,0,1.838849091,0.69897,0.30103,
